Total Cost ($),H2 Cost ($),FC Switch Cost ($),Bat. Degrade ($),Final SoC (%),Compute Time (s),simulator
150.50312421955738,106.50312421955736,44.0,0.0,,0.03066873550415039,<src.simulator.Simulator object at 0x0000023D82737440>
59.235491355453455,50.235491355453455,9.0,0.0,,0.030785322189331055,<src.simulator.Simulator object at 0x0000023D827376B0>
133.40640670156333,83.40640670156333,50.0,0.0,,0.03155708312988281,<src.simulator.Simulator object at 0x0000023D827366C0>
138.8555473617585,82.85554736175851,56.0,0.0,,0.03207802772521973,<src.simulator.Simulator object at 0x0000023D827363F0>
96.72895924546046,57.72895924546046,39.0,0.0,,0.030930042266845703,<src.simulator.Simulator object at 0x0000023D82736540>
104.7541197618421,75.7541197618421,29.0,0.0,,0.03561139106750488,<src.simulator.Simulator object at 0x0000023D82736C60>
82.37741975841436,59.37741975841437,23.0,0.0,,0.029832839965820312,<src.simulator.Simulator object at 0x0000023D827367B0>
109.37449374987514,77.37449374987514,32.0,0.0,,0.03388619422912598,<src.simulator.Simulator object at 0x0000023D82735E20>
132.10784990574018,76.1078499057402,56.0,0.0,,0.028537273406982422,<src.simulator.Simulator object at 0x0000023D827376E0>
140.04891995132593,78.04891995132593,62.0,0.0,,0.02654242515563965,<src.simulator.Simulator object at 0x0000023D82734F20>
124.76865812394068,73.76865812394068,51.0,0.0,,0.028185129165649414,<src.simulator.Simulator object at 0x0000023D827366F0>
