Total Cost ($),H2 Cost ($),FC Switch Cost ($),Bat. Degrade ($),Final SoC (%),Compute Time (s),simulator
118.0177273949446,39.0177273949446,79.0,0.0,,0.003176450729370117,<src.simulator.Simulator object at 0x0000023D84A89DC0>
38.94392160643279,19.943921606432788,19.0,0.0,,0.0015065670013427734,<src.simulator.Simulator object at 0x0000023D82735010>
108.84384662460548,34.843846624605476,74.0,0.0,,0.0020012855529785156,<src.simulator.Simulator object at 0x0000023D827370E0>
105.95494626838904,33.95494626838904,72.0,0.0,,0.003426790237426758,<src.simulator.Simulator object at 0x0000023D82737380>
95.27066033911835,26.270660339118347,69.0,0.0,,0.0025146007537841797,<src.simulator.Simulator object at 0x0000023D827348C0>
97.0846054013199,32.084605401319905,65.0,0.0,,0.0035169124603271484,<src.simulator.Simulator object at 0x0000023D827362D0>
76.02436502125578,25.024365021255772,51.0,0.0,,0.0019991397857666016,<src.simulator.Simulator object at 0x0000023D82736330>
95.69076144223331,31.69076144223331,64.0,0.0,,0.0030050277709960938,<src.simulator.Simulator object at 0x0000023D82736360>
105.61226033657138,33.61226033657139,72.0,0.0,,0.0025038719177246094,<src.simulator.Simulator object at 0x0000023D82736600>
130.35756472260255,44.35756472260255,86.0,0.0,,0.0030570030212402344,<src.simulator.Simulator object at 0x0000023D82737800>
104.65666612539222,34.65666612539222,70.0,0.0,,0.002996683120727539,<src.simulator.Simulator object at 0x0000023D82737740>
