Total Cost ($),H2 Cost ($),FC Switch Cost ($),Bat. Degrade ($),Final SoC (%),Compute Time (s),simulator
306.2014116578175,81.96014839361314,88.0,136.24126326420438,51.084720885729304,74.82210183143616,<src.simulator.HybridSimulator object at 0x0000023DF3E0A720>
108.19954737927455,2.398598454494415,30.0,75.80094892478013,58.608415566526595,77.82605051994324,<src.simulator.HybridSimulator object at 0x0000023D833B73B0>
230.82407565274872,43.129132191815195,89.0,98.69494346093352,53.193769533534066,91.11916542053223,<src.simulator.HybridSimulator object at 0x0000023DF4BFA6C0>
217.05107749745514,28.981552899703267,87.0,101.06952459775188,52.2536271166595,83.14922213554382,<src.simulator.HybridSimulator object at 0x0000023D80CB7650>
219.77615131413228,44.27977243904455,92.0,83.4963788750877,51.44219338652825,85.95135474205017,<src.simulator.HybridSimulator object at 0x0000023D80CB5EE0>
203.4067427940592,16.332434411587737,73.0,114.07430838247146,54.08482364350544,82.77332854270935,<src.simulator.HybridSimulator object at 0x0000023D80CB4B30>
181.0865864490415,27.116983016336853,57.0,96.96960343270464,51.4110737141353,80.81509375572205,<src.simulator.HybridSimulator object at 0x0000023D80C8E0F0>
167.50826010591766,6.019545201371293,49.0,112.48871490454636,53.58814903058006,80.00733757019043,<src.simulator.HybridSimulator object at 0x0000023D80C8DEB0>
198.74323104426594,17.66190718561718,87.0,94.08132385864877,53.049060594265136,74.7702317237854,<src.simulator.HybridSimulator object at 0x0000023D82674AD0>
225.9291262014333,33.349706256918,95.0,97.57941994451528,52.77926224765547,79.59296202659607,<src.simulator.HybridSimulator object at 0x0000023D826771A0>
203.04277597323056,30.61449859216712,66.0,106.42827738106342,52.75531102152867,80.44646763801575,<src.simulator.HybridSimulator object at 0x0000023D826745F0>
